Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-01-19,The Anthem of the Heart,2015,https://boxd.it/1BkP0R,3,,"japan, anime",2021-01-19
2021-01-21,Memories,1995,https://boxd.it/1BBvvz,3.5,,"anime, japan",2021-01-21
2021-01-24,The Girl Who Leapt Through Time,2006,https://boxd.it/1BSkNB,3.5,,"anime, japan",2021-01-23
2021-01-26,Weathering with You,2019,https://boxd.it/1CkKQx,4,Yes,"anime, japan, makoto shinkai",2021-01-26
2021-01-28,To the Ends of the Earth,2019,https://boxd.it/1CAgnd,3.5,,"japan, kiyoshi kurosawa",2021-01-28
2021-01-30,"Synecdoche, New York",2008,https://boxd.it/1CQcsl,5,Yes,masterpiece,2021-01-30
2021-01-31,Charisma,1999,https://boxd.it/1CZaez,3,,"japan, kiyoshi kurosawa, ???",2021-01-31
2021-02-03,Saint Maud,2019,https://boxd.it/1Dt49D,3,,,2021-02-03
2021-02-05,Creepy,2016,https://boxd.it/1DBSd7,3.5,,"japan, kiyoshi kurosawa, ???",2021-02-04
2021-02-05,Ringu,1998,https://boxd.it/1DI3N3,3,,japan,2021-02-05
2021-02-09,The Tatami Galaxy,2010,https://boxd.it/1EcIcd,5,Yes,"japan, masterpiece, anime, tv, masaaki yuasa",2021-02-08
2021-02-14,Lady Snowblood,1973,https://boxd.it/1EPvVR,3.5,,japan,2021-02-13
2021-02-15,Your Name.,2016,https://boxd.it/1F1gpP,4.5,Yes,"japan, anime",2021-02-14
2021-02-17,K-ON! The Movie,2011,https://boxd.it/1Ft51D,3,,"japan, anime",2021-02-17
2021-02-18,Who Framed Roger Rabbit,1988,https://boxd.it/1FB9jn,3.5,,,2021-02-18
2021-02-23,Thanks for Sharing,2012,https://boxd.it/1GeA19,3,,,2021-02-22
2021-02-24,Rhapsody in Blue,1999,https://boxd.it/1GsHRT,5,,,2021-02-24
2021-02-25,Mistress America,2015,https://boxd.it/1GAQvD,2.5,,,2021-02-25
2021-02-27,Minari,2020,https://boxd.it/1GPzHx,3.5,,,2021-02-27
2021-03-01,Superbad,2007,https://boxd.it/1H9P7F,3.5,,,2021-03-01
2021-03-05,Scott Pilgrim vs. the World,2010,https://boxd.it/1HwFJP,4.5,Yes,edgar wright,2021-03-04
2021-03-05,WandaVision,2021,https://boxd.it/1HDDct,3.5,,"tv, marvel",2021-03-05
2021-03-06,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1HM6l1,4,,,2021-03-06
2021-03-07,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1HWmu9,3,,,2021-03-07
2021-03-08,Molly's Game,2017,https://boxd.it/1I6IpF,3.5,,,2021-03-08
2021-03-15,Princess Mononoke,1997,https://boxd.it/1IZxeL,5,Yes,,2021-03-15
2021-03-17,One Child Nation,2019,https://boxd.it/1J9ZgZ,4,,mandarin,2021-03-16
2021-03-20,Vanilla Sky,2001,https://boxd.it/1JxT8D,3.5,Yes,,2021-03-19
2021-03-23,Her,2013,https://boxd.it/1JZNIV,5,Yes,masterpiece,2021-03-22
2021-03-26,Cool Hand Luke,1967,https://boxd.it/1Ksw69,4,,,2021-03-25
2021-03-27,The Terminal,2004,https://boxd.it/1KADhz,2.5,,,2021-03-27
2021-03-28,Almost Famous,2000,https://boxd.it/1KKdZP,5,,masterpiece,2021-03-27
2021-03-29,Shrek,2001,https://boxd.it/1KV5zB,3.5,Yes,,2021-03-29
2021-03-31,Tokyo Sonata,2008,https://boxd.it/1Lafy9,4,,"japan, kiyoshi kurosawa",2021-03-31
2021-04-03,The Hand,2020,https://boxd.it/1LzKA1,4,,"mandarin, hong kong, 王家衛",2021-04-02
2021-04-04,2046,2004,https://boxd.it/1LC2vd,4.5,Yes,"hong kong, mandarin, cantonese, 王家衛",2021-04-03
2021-04-08,Promising Young Woman,2020,https://boxd.it/1MklZT,4,,,2021-04-07
2021-04-09,Farewell My Concubine,1993,https://boxd.it/1Muavj,4,,"mandarin, china",2021-04-09
2021-04-12,Days of Being Wild,1990,https://boxd.it/1MOT0P,3.5,Yes,"cantonese, hong kong, 王家衛",2021-04-11
2021-04-12,As Tears Go By,1988,https://boxd.it/1MZ5HL,3,,"cantonese, hong kong, 王家衛",2021-04-12
2021-04-13,Police Story,1985,https://boxd.it/1N7LZX,4,,"cantonese, hong kong",2021-04-13
2021-04-16,The Legend of Drunken Master,1994,https://boxd.it/1NvyGV,3,,"cantonese, hong kong",2021-04-15
2021-04-17,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/1NEhiF,3.5,Yes,,2021-04-17
2021-04-23,A Cure for Wellness,2016,https://boxd.it/1OrUT9,3,Yes,,2021-04-22
2021-04-23,Where the Wild Things Are,2009,https://boxd.it/1OvyZR,5,Yes,"masterpiece, spike jonze, better than you think",2021-04-23
2021-04-27,Once Upon a Time… in Hollywood,2019,https://boxd.it/1P5qPL,4,Yes,,2021-04-26
2021-04-28,Judas and the Black Messiah,2021,https://boxd.it/1PaLOT,4.5,,,2021-04-27
2021-04-29,Fritz the Cat,1972,https://boxd.it/1Pm1WV,3.5,,,2021-04-28
2021-04-30,American Pop,1981,https://boxd.it/1PqlsJ,4,,,2021-04-29
2021-05-04,King Kong,1933,https://boxd.it/1Q7W0D,4.5,Yes,,2021-05-03
2021-05-05,King Kong,2005,https://boxd.it/1QbKI7,3.5,Yes,,2021-05-04
2021-05-08,Ikiru,1952,https://boxd.it/1QCl6h,5,Yes,"japan, japanese golden age, akira kurosawa, masterpiece",2021-05-08
2021-05-10,From Dusk Till Dawn,1996,https://boxd.it/1QVbqJ,4,Yes,,2021-05-10
2021-05-14,Rashomon,1950,https://boxd.it/1Rpwgl,5,Yes,"japan, akira kurosawa, masterpiece, japanese golden age",2021-05-14
2021-05-16,Kuroneko,1968,https://boxd.it/1RIhqN,4.5,Yes,japan,2021-05-16
2021-05-18,The Night of the Hunter,1955,https://boxd.it/1RYRVz,5,Yes,masterpiece,2021-05-17
2021-05-19,The Ghost of Yotsuya,1959,https://boxd.it/1S6qrD,3,,"japan, japanese golden age",2021-05-18
2021-05-20,Jigoku,1960,https://boxd.it/1Se617,3.5,,"japan, japanese golden age, ???",2021-05-20
2021-05-21,Blind Beast,1969,https://boxd.it/1Sl0ej,4,,japan,2021-05-21
2021-05-22,Pitfall,1962,https://boxd.it/1SsDdD,2.5,,"japan, japanese golden age, hiroshi teshigahara, ???",2021-05-22
2021-05-23,Demon Slayer – Kimetsu no Yaiba – The Movie: Mugen Train,2020,https://boxd.it/1SBKUR,3,,"japan, anime, theatre",2021-05-22
2021-05-24,Funeral Parade of Roses,1969,https://boxd.it/1SLJuX,3,,japan,2021-05-23
2021-05-25,Street of Shame,1956,https://boxd.it/1SSqYj,4,,"japan, japanese golden age, kenji mizoguchi",2021-05-24
2021-05-25,Sansho the Bailiff,1954,https://boxd.it/1SUJQ3,5,Yes,"kenji mizoguchi, japanese golden age, masterpiece, japan",2021-05-25
2021-05-27,An American Werewolf in London,1981,https://boxd.it/1T9m8x,4,Yes,,2021-05-26
2021-05-27,The Life of Oharu,1952,https://boxd.it/1T9ndX,5,Yes,"masterpiece, japan, japanese golden age, kenji mizoguchi",2021-05-27
2021-05-28,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/1TfZZx,5,Yes,masterpiece,2021-05-28
2021-05-29,Harold and Maude,1971,https://boxd.it/1Tmvqh,4,,,2021-05-28
2021-05-31,Bo Burnham: Inside,2021,https://boxd.it/1TEueF,,,,2021-05-30
2021-06-01,Chinatown,1974,https://boxd.it/1TRmqp,4.5,Yes,masterpiece,2021-06-01
2021-06-02,Ace in the Hole,1951,https://boxd.it/1TXtpb,4.5,Yes,,2021-06-01
2021-06-04,Early Spring,1956,https://boxd.it/1UdKQF,4,,"yasujiro ozu, japanese golden age, japan",2021-06-04
2021-06-05,The Master,2012,https://boxd.it/1UmQKr,4.5,Yes,???,2021-06-05
2021-06-07,Empire of Passion,1978,https://boxd.it/1UG23d,3,,"japan, nagisa oshima",2021-06-07
2021-06-08,A Geisha,1953,https://boxd.it/1UN2MV,4,,"japan, japanese golden age, kenji mizoguchi",2021-06-07
2021-06-11,Women of the Night,1948,https://boxd.it/1VaLSF,3.5,,"kenji mizoguchi, japan, japanese golden age",2021-06-11
2021-06-12,Doctor Zhivago,1965,https://boxd.it/1VhvnF,3.5,,david lean,2021-06-12
2021-06-13,Drive,2011,https://boxd.it/1VplOn,4,,,2021-06-13
2021-06-14,The Last Detail,1973,https://boxd.it/1Vz225,4,,,2021-06-14
2021-06-15,Hugo,2011,https://boxd.it/1VFNr9,4,Yes,,2021-06-15
2021-06-16,The Amusement Park,1975,https://boxd.it/1VNJFx,,,,2021-06-16
2021-06-17,Dawn of the Dead,1978,https://boxd.it/1VTvy5,4.5,,,2021-06-17
2021-06-19,Floating Clouds,1955,https://boxd.it/1W1Gxj,2.5,,"japanese golden age, mikio naruse, japan",2021-06-18
2021-06-20,Carnal Knowledge,1971,https://boxd.it/1WgXuB,4.5,,mike nichols,2021-06-20
2021-06-21,Phantom of the Paradise,1974,https://boxd.it/1WqHxf,4,,???,2021-06-21
2021-06-22,Catch-22,1970,https://boxd.it/1Wyxej,3.5,,mike nichols,2021-06-22
2021-06-24,On the Waterfront,1954,https://boxd.it/1WN3Pp,3,,,2021-06-24
2021-06-25,Blow Out,1981,https://boxd.it/1WUod1,4,,,2021-06-25
2021-06-26,The Death of Stalin,2017,https://boxd.it/1X1kNX,3.5,,,2021-06-26
2021-06-27,Two in the Shadow,1967,https://boxd.it/1XbwWd,3.5,,"japan, mikio naruse",2021-06-27
2021-06-28,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/1Xkcah,2,,,2021-06-28
2021-06-30,Rebel Without a Cause,1955,https://boxd.it/1XtIx1,4,,,2021-06-29
2021-06-30,The Legend of 1900,1998,https://boxd.it/1XAbkn,4,,,2021-06-30
2021-07-01,Lightning,1952,https://boxd.it/1XI20f,3.5,,"japanese golden age, japan, mikio naruse",2021-07-01
2021-07-03,Luca,2021,https://boxd.it/1XX2hb,3.5,,,2021-07-03
2021-07-05,The Other Side of the Wind,2018,https://boxd.it/1YhXQn,5,Yes,"masterpiece, better than you think",2021-07-05
2021-07-07,The Last Temptation of Christ,1988,https://boxd.it/1YAKR1,4.5,,???,2021-07-07
2021-07-08,The Burmese Harp,1956,https://boxd.it/1YIPhN,4,,"japanese golden age, kon ichikawa, japan",2021-07-08
2021-07-11,A Clockwork Orange,1971,https://boxd.it/1Z4tZx,5,Yes,"stanley kubrick, masterpiece",2021-07-10
2021-07-11,Rain Man,1988,https://boxd.it/1Z6FSx,2.5,,,2021-07-10
2021-07-12,The Graduate,1967,https://boxd.it/1ZktYr,4.5,Yes,mike nichols,2021-07-12
2021-07-15,Bringing Out the Dead,1999,https://boxd.it/1ZEMSH,4,,"martin scorsese, airplane",2021-07-14
2021-07-15,Nomadland,2020,https://boxd.it/1ZGiMj,3.5,,"watched in paris fr, studio 28 montmarte, theatre",2021-07-14
2021-07-18,Annette,2021,https://boxd.it/208D4D,3.5,,"france, watched in lyon fr, pathe bellecœr, theatre",2021-07-17
2021-07-23,Old,2021,https://boxd.it/20UXMh,3,,"watched in nice fr, cinema varieté, theatre",2021-07-23
2021-07-25,Bergman Island,2021,https://boxd.it/218Yfh,4,,"watched in nice fr, rialto, france, theatre",2021-07-24
2021-07-29,Waking Life,2001,https://boxd.it/21LGuL,5,Yes,"richard linklater, watched in lisbon pt, cinemateca portuguesa, theatre",2021-07-28
2021-07-30,Zatoichi,2003,https://boxd.it/21UEbv,3,,"japan, takeshi kitano, airplane",2021-07-29
2021-07-30,After Hours,1985,https://boxd.it/21UEt5,5,Yes,"airplane, martin scorsese, masterpiece",2021-07-29
2021-07-30,Another Round,2020,https://boxd.it/21UEUZ,3.5,,"denmark, airplane",2021-07-29
2021-07-30,Saving Christmas,2014,https://boxd.it/220acb,0.5,,,2021-07-30
2021-07-31,In the Mood for Love,2000,https://boxd.it/226Dav,5,Yes,"hong kong, cantonese, 王家衛, austin film society, theatre",2021-07-30
2021-08-01,Chungking Express,1994,https://boxd.it/22gByZ,5,Yes,"hong kong, 王家衛, austin film society, theatre, mandarin, cantonese",2021-07-31
2021-08-03,Miss Oyu,1951,https://boxd.it/22z8QN,3,,"japan, kenji mizoguchi, japanese golden age",2021-08-02
2021-08-04,Dark Waters,2019,https://boxd.it/22CjhP,3.5,,,2021-08-03
2021-08-07,Deep End,1970,https://boxd.it/237rKn,4,,"watched in nyc, roxy cinema, theatre",2021-08-06
2021-08-09,The Swimming Pool,1969,https://boxd.it/23utsV,3.5,,"watched in nyc, ny film forum, france, theatre",2021-08-08
2021-08-12,Casino Royale,2006,https://boxd.it/23TQj3,4.5,Yes,,2021-08-11
2021-08-13,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/242Ikv,,,"japan, anime, ???",2021-08-13
2021-08-14,Nine Days,2020,https://boxd.it/249NOJ,3.5,,theatre,2021-08-13
2021-08-15,Sound of Metal,2019,https://boxd.it/24ioun,4,,,2021-08-14
2021-08-16,The Departed,2006,https://boxd.it/24utMb,4.5,Yes,martin scorsese,2021-08-15
2021-08-17,Raging Bull,1980,https://boxd.it/24Dwfn,4.5,Yes,martin scorsese,2021-08-17
2021-08-18,Who's That Knocking at My Door,1967,https://boxd.it/24ITtx,3.5,,martin scorsese,2021-08-17
2021-08-19,Casino,1995,https://boxd.it/24ViB1,3.5,,martin scorsese,2021-08-19
2021-08-20,Taxi Driver,1976,https://boxd.it/253svN,5,Yes,"masterpiece, martin scorsese",2021-08-20
2021-08-21,Mind Game,2004,https://boxd.it/25aBJD,4,,"japan, anime, ???, masaaki yuasa, theatre, moma fort worth",2021-08-20
2021-08-23,Pig,2021,https://boxd.it/25wPSX,1,,,2021-08-23
